COD_CHAVE;DESCRITOR;RESUMOS
2646;Aderência Celular;FC017
30094;Aderência Dental;PN0130
2647;Aderências;PN1628
2657;Adesividade;PN0147, PN0174, PN0339, PN0492, PN0711, PN1569
2662;Adesivos;AO0197, PI0428, PI0574, PI0862, PN0100, PN0119, PN0461, PN0511, PN0701, PN0740, PN0746, PN1011, PN1101
2663;Adesivos Dentinários;AO0177, AO0181, AO0185, PI0263, PI0265, PI0273, PI0277, PI0280, PI0406, PI0412, PI0445, PI0491, PI0558, PI0568, PI0570, PI0584, PI0713, PI0735, PI0876, PI0877, PI0879, PI0888, PN0105, PN0107, PN0114, PN0116, PN0120, PN0125, PN0145, PN0148, PN0149, PN0156, PN0157, PN0161, PN0164, PN0173, PN0183, PN0357, PN0359, PN0369, PN0420, PN0427, PN0428, PN0432, PN0435, PN0441, PN0445, PN0447, PN0455, PN0459, PN0464, PN0470, PN0475, PN0484, PN0487, PN0492, PN0503, PN0741, PN0744, PN0750, PN0753, PN0770, PN0773, PN0799, PN0814, PN0816, PN0824, PN0827, PN0876, PN1055, PN1057, PN1065, PN1069, PN1070, PN1076, PN1080, PN1092, PN1105, PN1106, PN1122, PN1128, PN1129, PN1589, PN1640, PN1691
30252;adesivos para prótese;FC009, AO0198, PN0764
2664;Adesivos Teciduais;PI0610, PN0009, PN0317
30329;Adhesives;HA015, PN1085
2717;Administração e Planejamento em Saúde use Políticas, Planejamento e Administração em Saúde;PN1824
2762;Adolescência use Adolescente;PI0137
2763;Adolescente;PI0283, PI0369, PI0398, PI0701, PN0074, PN1000, PN1381, PN1630
30203;Adolescentes;PI0060, PN1241, PN1384, PN1498, PN1506
2812;Adulto;PN0925
30095;adultos jovens;PN0203, PN1833
2861;Afecções Pré-Cancerosas use Lesões Pré-Cancerosas;PN1745
2896;Agar;PI0053
2944;Agency for Health Care Policy and Research use United States Agency for Healthcare Research and Quality;PE005
2967;Agentes Antibacterianos;PI0017, PI0812, PN1609, PN1626
30251;Agentes Antimicrobianos;AO0180, PI0047, PN1089, PN1207, PN1311, PN1591, PN1605, PN1627, PN1635
30214;Agentes Comunitários de Saúde;PO017, PI0094
3008;Agentes Corantes;PI0168, PN0823, PN0858, PN1576
3013;Agentes de Controle de Microrganismos;PN0087
30250;Agentes de União;PN0476, PN0866
3048;Agentes Indutores da Angiogênese;PN0247, PN1422, PN1603
3067;Agentes Redutores;PI0866, PN1604
29898;Aggregatibacter actinomycetemcomitans;AO0103, PN1787, PN1795
3131;Agressão;PI0845
379;Agulhas;PN1165
404;Ajuste Oclusal;PN1151, PN1503
482;Alcoolismo;PI0001, PI0225, PI0554, PI0835
502;Alecrim-de-Cheiro use Rosmarinus officinalis;PN0367, PN0407
504;Aleitamento Materno;AO0010, AO0024, PI0064, PI0438, PI0601, PN0678, PN0978, PN0994, PN1013, PN1492, PN1668, PN1823
510;Alendronato;HA023, AO0128, AO0143, PI0308, PI0368, PN0594, PN0627, PN0712, PN0946
518;Alergia e Imunologia;PI0839
541;alfa-Amilase;PN1403, PN1683
30226;Alfabetização em Saúde;PN1324
206;Alginatos;PN0101, PN0460, PN0676, PN1052, PN1060
218;Alimentação;PI0860, PN1399
241;Alimentos de Soja;PN1815
242;Alimentos e Bebidas;PI0867
263;Alismataceae;PN1737
29907;alodinia mecânica;AO0071, AO0078
283;Aloe;PN0239
313;Alprazolam;PN0608
30155;Alteração Dimensional;PI0034, PI0254, PI0771, PN0796, PN1060
30323;Alterações ósseas;AO0041
30330;Alveolite;PI0307
570;Alvéolo Dental;PN1862
30328;Alvéolo Dentário;PI0307
571;Alvéolo Seco;PN0239
577;Amálgama Dentário;PI0542, PN0489, PN1083, PN1094
627;Ameloblastoma;AO0116, PI0071, PI0221, PI0461, PI0522, PN0015, PN1425, PN1428
631;Amelogenina;PN1344
669;Amido;AO0090
682;Amilases;PI0591
820;Amoxicilina;PN0605, PN1344
858;Anacardiaceae;PN0079
879;Analgesia;PI0816, PN0008, PN0315, PN0972
885;Analgésicos;PN1255
893;Análise Citogenética;PN0312
30108;analise de custos em saude;PI0559
902;Análise de Dados;PN0416
903;Análise de Elemento Finito;PI0170, PI0321, PI0780, PN0229, PN0230, PN0959
29916;Análise de Elementos Finitos;HA014, AO0214, PI0272, PN0010, PN0170, PN0182, PN0324, PN0443, PN0500, PN0506, PN0612, PN0633, PN0641, PN0648, PN0720, PN0765, PN0774, PN0839, PN0859, PN0888, PN0940, PN0961, PN0992, PN1104, PN1118, PN1335, PN1364, PN1530, PN1539, PN1703
913;Análise de Sequência de RNA;PN1466
916;Análise de Sobrevida;AO0209, AO0211, PI0319, PN0256
922;Análise Diferencial Térmica;PN0471
923;Análise Discriminante;HA022
925;Análise do Estresse Dentário;PI0321, PI0579, PN0182, PN0229, PN0230, PN0670, PN1355
29882;análise espacial;PN1174
932;Análise Espectral;PN1056
933;Análise Espectral Raman;PN0134, PN0277, PN0427, PN0472, PN1064, PN1246, PN1748
936;Análise Fatorial;HA022
941;Análise Microbiológica;PI0527, PN0295, PN0448, PN0894, PN1231, PN1555
29863;Análise Multinível ;PN1229
942;Análise Multivariada;AO0050, PN1342
30354;Analise por Elementos Finitos;PN1532, PN1861
949;Análise Qualitativa;PN0687, PN1159
950;Análise Quantitativa;PN0687
951;Análise Química;FC008, PI0514
952;Análise Química do Sangue;PN1602
955;Análise Socioeconômica;PI0132
957;Análise Transversal;PN1400
977;Anatomia;PE001, PI0010, PI0643, PI0768, PN0005, PN0318, PN0319, PN0322, PN0564, PN0950, PN1451
1005;Androgênios;PN0625
1028;Anemia;PN1778
1031;Anemia de Fanconi;PI0667, PI0669, PI0671
1033;Anemia Falciforme;AO0047, AO0124, PN0901, PN1510
1062;Anestesia;PI0767
1067;Anestesia Dentária;PN1438, PN1706
1070;Anestesia Geral;PN1211
1073;Anestesia Local;PI0815
1081;Anestésicos;PN1359
1090;Anestesiologia;PE001
1201;Anidrases Carbônicas;PN1397, PN1665
1254;Anodontia;PN0677, PN0697, PN0999
30007;anomalías dentarias;PI0235, PI0285, PN1004, PN1649
1264;Anomalias Dentofaciais use Anormalidades Maxilofaciais;PI0502
1277;Anorexia Nervosa;PN0579
1283;Anormalidades Craniofaciais;PN1439
1285;Anormalidades da Boca;PN1327
1287;Anormalidades Dentárias;AO0019, PI0672, PI0906, PN0237, PN0642
30078;Anormalidades Induzidas por Radiação;PN0232
1300;Anormalidades Maxilomandibulares;PI0457
1312;Anquilose;PI0769
1321;Ansiedade;PI0095, PI0161, PI0211, PI0215, PI0459, PN0867, PN1682
1322;Ansiedade ao Tratamento Odontológico;AO0013, PI0137, PI0549, PN0236, PN1359, PN1393
1324;Ansiolíticos;PN1306
29900;Anti-Inflamatórios;AO0100, PI0303, PI0328, PN0349, PN0553, PN1307
1632;Anti-Sépticos Bucais;PI0659
29996;Antibiótico;AO0032, PI0052, PI0186, PN0307, PN0605, PN0872, PN1473
1378;Antibioticoprofilaxia;PN1731
1387;Anticoagulantes;PN1321
1471;Antígeno Ki-67;PN1746
1472;Antígeno Nuclear de Célula em Proliferação;AO0075
1562;Antígenos HLA;PI0067, PN0242
1587;Antiinflamatórios;PN0168
1596;Antimicóticos;PN1612
29849;antimicrobiano;PI0809, PI0812, PN0392, PN0837, PN1323
1612;Antioxidantes;PI0256, PI0281, PI0347, PI0351, PI0515, PN0359, PN0403, PN0420, PN1303, PN1311, PN1314
1665;Antropologia Forense;PI0309, PN0002, PN0588, PN0636, PN0911, PN1804
1666;Antropometria;PI0012, PI0613, PN0163, PN0322, PN1756
1675;Aorta;PN0082
1689;Aparelhos Ativadores;PN1666
1691;Aparelhos Ortodônticos;PI0202, PI0758, PN0703, PN0706, PN1461
1692;Aparelhos Ortodônticos Funcionais;PN1368
1693;Aparelhos Ortodônticos Removíveis;PN1391
1694;Aparelhos Ortopédicos;PN0667
30128;Apexificação ;PN0054
1709;Ápice Dentário;PI0341, PI0768, PN0034, PN0354
1710;Apicectomia;PI0486
30161;Apinhamento;AO0018, PI0149, PN1681
1725;Apnéia;PN1212
1727;Apnéia do Sono Tipo Obstrutiva;AO0119, PI0140, PN0323, PN0635, PN0673
1737;Apoio ao Desenvolvimento de Recursos Humanos;PN0899
1738;Apoio ao Planejamento em Saúde;PN0899
1741;Apoio Social;PN1812
1763;Apoptose;FC022, PI0234
1773;Aprendizagem;PE004, PE008, PE017, PI0693, PN0927, PN0929
29977;aquecimento;PI0130, PI0733, PN0123
1866;Arcada Edentada;PN0507, PN1052
1868;Arcada Parcialmente Edentada;PN1851
1874;Arco Dental;PI0454, PN1650
1922;Argônio;PN0057
1943;Armas de Fogo;PN0319
1954;Armazenamento de Substâncias, Produtos e Materiais;PN0447
1967;Aromaterapia;PI0095
29980;artefato metálico;AO0114, PN1446
1998;Artefatos;PN0240, PN0573, PN1414
1999;Artemia;PN0764
3238;Articulação Temporomandibular;AO0194, AO0206, PI0312, PI0467, PI0615, PN0220, PN0249, PN0263, PN0540, PN0623, PN0626, PN0709, PN0832, PN0854, PN1148, PN1158, PN1163, PN1173, PN1358, PN1733
3247;Articuladores Dentários;PN0211, PN0865
3257;Artrite;PN0897
3258;Artrite Experimental;PI0224, PN1305
3263;Artrite Reumatóide;AO0194, AO0206, PI0689, PN0090, PN1431, PN1729
3328;Asma;PN1378, PN1682, PN1719
3338;Aspartato Aminotransferases;PN1772
3350;Aspergillus;PN1617
3374;Assimetria Facial;PI0599, PN0987
3390;Assistência Hospitalar;PN1497
3396;Assistência Odontológica;AO0047, PI0242, PI0394, PI0547, PI0549, PN0092, PN0329, PN1007, PN1497, PN1810, PN1831
3398;Assistência Odontológica para Crianças;PI0132, PI0539, PI0544, PI0752, PN1379, COL008
3399;Assistência Odontológica para Doentes Crônicos;PN1009
3400;Assistência Odontológica para Idosos;PO020, PI0250
3401;Assistência Odontológica para Pessoas Portadoras de Deficiências;PE014, PI0236
3455;Ataque Ácido Dentário;PI0116, PI0575, PN0445, PN0487
3467;Atenção à Saúde;PI0086, PI0242, PI0401
3469;Atenção Primária à Saúde;AO0051, PO005, PO006, PE020, PI0090, PI0690, PI0700, PN1233, PN1499, PN1505, PN1801, PN1807
3471;Atenção Secundária à Saúde;PN0915, PN1025, PN1234, PN1499, PN1814
3477;Aterosclerose;PN1187, PN1739
30156;Atividade antimicrobiana;FC009, AO0084, PI0652, PI0660, PI0661, PI0806, PN0093, PN0396, PN0743, PN0980, PN1278, PN1562, PN1787
3575;Atrito Dentário;PN1354
3579;Atrofia Muscular;PI0159
3608;Aumento da Coroa Clínica;PI0830
3611;Aumento do Rebordo Alveolar;AO0145, PN1481, PN1860
3643;Auto-Eficácia;AO0024, PI0438
3650;Auto-Imagem;PN0113
3648;Autofagia;PN1432
29858;autopercepção;PI0085, PI0253, PI0556, PI0843, PI0847, PN1370, PN1475, PN1833
3682;Auxiliares de Odontologia;PO018, PI0698
3689;Avaliação;PI0863, PN0905, PN1199
3701;Avaliação de Eficácia-Efetividade de Intervenções;PN1030
3708;Avaliação de Programas e Projetos de Saúde;PN1832
3713;Avaliação de Serviços de Saúde;PI0858, PN1234, PN1499, PN1801
29933;Avaliação de Sintomas;PI0312
3714;Avaliação Educacional;AO0036, AO0045
3716;Avaliação em Saúde;PI0396, PN0915, PN1504, PN1814
3723;Avanço Mandibular;PN0320, PN0635, PN0643, PN0714
3735;Avicennia;PN0402
3748;Avulsão Dentária;FC005, PI0127, PI0239, PI0441, PI0842, PN0016, PN0035, PN0040, PN0041, PN0416, PN0634, PN1077, PN1583
3775;Azitromicina;PN0307
3795;Azul de Metileno;PN0882, PN1132
30362;bacteremia;PN1263
3847;Bactérias;PI0653, PI0688, PN0030, PN0045, PN0075, PN0097, PN1012, PN1269, PN1286, PN1582, PN1669
3850;Bactérias Anaeróbias;AO0104, PN0390
3856;Bactérias Gram-Positivas;PN0346
3860;Bactericidas;PN1628
3939;Bancos de Tecidos;PN1197
3941;Bandas de Matriz;PN1137
4019;Bebidas;AO0093, PI0505, PI0733, PI0747, PN0733
4020;Bebidas Alcoólicas;PI0803
4042;Bem-Estar Materno;PI0598
4078;Benzo(a)pireno;PN1202
4217;Bicarbonato de Sódio;PN0400, PN1781
4225;Bifidobacterium;PI0448
29904;biocompatibilidade;AO0076, AO0152, PI0157, PI0506, PN0112, PN0266, PN0425, PN0809
4244;Bioética;PE015, PN1225, PN1228, PN1501
30227;Biofilme Dentário;HA002, AO0001, AO0085, PI0047, PI0074, PI0125, PI0156, PI0204, PI0294, PI0322, PI0350, PI0448, PI0656, PN0834, PN1089, PN1102, PN1329, PN1465, PN1479, PN1608, PN1614
4246;Biofilmes;HA004, HA005, FC006, AO0052, AO0073, AO0092, AO0094, AO0095, AO0096, AO0102, PI0498, PI0499, PI0514, PI0626, PI0658, PI0802, PI0807, PI0861, PN0044, PN0075, PN0097, PN0308, PN0337, PN0379, PN0385, PN0398, PN0407, PN0518, PN0525, PN0606, PN0739, PN0837, PN0852, PN1149, PN1168, PN1231, PN1285, PN1295, PN1315, PN1373, PN1480, PN1622, PN1625, COL004
4261;Biologia Molecular;AO0091, PI0466, PN0269, PN0374
29891;Biomaterial;AO0068, PI0001, PI0008, PI0111, PI0630, PI0783, PI0784, PI0792, PI0863, PN0171, PN0287, PN0290, PN0358, PN0439, PN0555, PN0618, PN1536, PN1538, PN1547, PN1589, PN1762, PN1844
4264;Biomecânica;HA014, AO0017, AO0139, AO0212, PI0022, PI0321, PI0490, PI0579, PI0628, PI0633, PI0781, PN0209, PN0218, PN0230, PN0284, PN0303, PN0595, PN0600, PN0601, PN0641, PN0648, PN0670, PN0841, PN0860, PN0940, PN1059, PN1156, PN1171, PN1335, PN1355, PN1364, PN1524, PN1529, PN1530, PN1539
4266;Biomimética;PN1084
4269;Biopolímeros;PN0180
4271;Biópsia;PN1421, PN1431
4294;Birrefringência;PN1131
29903;bisfosfonato;PI0682
29932;Bisfosfonatos;PI0002, PI0009, PI0062, PI0153, PI0229, PI0305, PI0458, PI0761, PN0293, PN0327, PN0710, PN0942, PN0949, PN1418
4304;Bison;PI0575
30206;Bisphosphonate-Associated Osteonecrosis of the Jaw;PI0369, PI0523
4357;Boca;PI0375, PI0683
4358;Boca Edentada;PI0310, PN1148
4364;Bócio;PI0059
30342;bone marrow, stem cells;PN1553
4458;Bradicinina;PN0939
4463;Braquetes;PI0608, PN0704, PN0954, PN1011
4464;Braquetes Ortodônticos;AO0007, PI0452, PI0760, PI0908, PN0111, PN0115, PN0193, PN0413, PN0435, PN0716, PN0716, PN0729, PN0962, PN0976, PN0982, PN0986, PN0988, PN1030, PN1037, PN1039, PN1042, PN1325, PN1326, PN1339, PN1354, PN1361, PN1363, PN1375, PN1380, PN1642, PN1662, PN1672, PN1680, PN1693
4467;Brasil;PI0846
4502;Bromodesoxiuridina;PN1596
4550;Bruxismo;AO0003, PI0014, PI0594, PI0748, PI0895, PN0068, PN0527, PN0718, PN0845, PN1034, PN1374
4551;Bruxismo do Sono;PI0745, PN0705, PN0718, PN1401, PN1667
4573;Bulas de Medicamentos;AO0048
4579;Bulimia Nervosa;PN0579, PN0917
4637;Cabeça;PN1348
30311;CAD/CAM;PN0862, PN0864
4652;Cadaver;PN0095
4683;Caderinas;PN1752
4699;Café;PI0103, PI0121
4700;Cafeína;PI0501
4732;Calcificação de Dente;PI0606, PI0695, PN0268
4738;Cálcio;PI0152, PI0583, PN1846, COL002
4761;Calendula officinalis (Homeopatia);PI0072, PI0336
4802;Camada de Esfregaço;PN0360, PN0378, PN0744, PN1572
4821;Camellia sinensis;PI0077, PN0417
4848;Camundongos;PN0344
29970;canal da mandibula;PI0767, PN0554, PN1757
29873;Canal Radicular;HA003, AO0062, AO0104, PI0028, PI0183, PI0209, PI0271, PI0331, PI0485, PN0001, PN0026, PN0052, PN0059, PN0141, PN0162, PN0347, PN0365, PN0564, PN0568, PN1247, PN1256, PN1257, PN1270, PN1281, PN1585, PN1755
29899;Câncer Bucal;AO0127, PI0066, PI0212, PI0377, PI0667, PI0671, PN0256, PN0269, PN0560, PN0918, PN1478, PN1745, PN1750, PN1768, PN1808
4952;Candida;HA005, FC017, AO0095, PI0314, PI0653, PI0658, PI0750, PI0892, PN1298, PN1350, PN1433, PN1647, PN1661, PN1770, PN1818, COL004
4953;Candida albicans;FC006, AO0092, AO0094, AO0170, PI0049, PI0199, PI0200, PI0206, PI0322, PI0336, PI0356, PI0357, PI0499, PI0626, PI0797, PI0808, PI0861, PN0072, PN0077, PN0087, PN0094, PN0096, PN0198, PN0199, PN0385, PN0398, PN0399, PN0408, PN0530, PN0743, PN1146, PN1149, PN1153, PN1262, PN1300, PN1319, PN1610, PN1621, JL001
4956;Candidíase;AO0107, PI0819, PN0251, PN1612
4957;Candidíase Bucal;PI0819, PN0251, PN0579
4988;Capacitação Profissional;PN0922
4991;Capeamento da Polpa Dentária;AO0179, PN0480, PN0675, PN1018, PN1589
4994;Capilaridade;PI0500
30192;Capim-limão;PI0626
30274;capital social;PN1820
5037;Caracteres Sexuais;PI0011, PN0264, PN0914, PN1727
5094;Carboidratos na Dieta;AO0102
5126;Carboximetilcelulose;PI0050
30220;carcinogenese;AO0110, PI0526, PI0825, PN1422, PN1450
5136;Carcinógenos;PN1745
5138;Carcinoma;PI0826
5141;Carcinoma Adenóide Cístico;PI0069, PI0521, PN0560, PN1420
5143;Carcinoma Basocelular;PI0825
5153;Carcinoma de Células Escamosas;AO0118, AO0123, AO0125, PI0065, PI0520, PI0525, PI0828, PN0245, PN0256, PN0274, PN0544, PN0576, PN0580, PN1419, PN1430, PN1432, PN1442, PN1445, PN1725, PN1735, PN1746, PN1751, PN1767, PN1771
29902;Carcinoma Espinocelular;FC019, AO0110, AO0111, PI0218, PI0374, PI0826, PN0242, PN1448, PN1748
5189;Cardiologia;PI0813
5201;Cardiopatias;PN0236, PN1321
30032;cárie de acometimento precoce;PI0901, PN1331
5227;Cárie Dentária;AO0006, AO0010, AO0014, AO0049, AO0085, AO0096, AO0102, AO0104, AO0169, AO0174, PO003, PO004, PI0043, PI0045, PI0084, PI0088, PI0108, PI0133, PI0141, PI0143, PI0145, PI0209, PI0270, PI0288, PI0292, PI0297, PI0348, PI0349, PI0352, PI0420, PI0436, PI0437, PI0442, PI0443, PI0444, PI0448, PI0500, PI0502, PI0513, PI0538, PI0581, PI0588, PI0593, PI0596, PI0649, PI0690, PI0697, PI0707, PI0727, PI0741, PI0742, PI0744, PI0750, PI0751, PI0857, PI0889, PI0894, PI0903, PN0070, PN0074, PN0079, PN0081, PN0089, PN0171, PN0267, PN0275, PN0383, PN0386, PN0395, PN0397, PN0398, PN0406, PN0411, PN0649, PN0651, PN0658, PN0668, PN0669, PN0675, PN0695, PN0700, PN0715, PN0725, PN0727, PN0741, PN0913, PN0917, PN0919, PN0955, PN0963, PN0971, PN0984, PN0985, PN0991, PN1001, PN1005, PN1010, PN1012, PN1022, PN1033, PN1227, PN1230, PN1235, PN1244, PN1297, PN1299, PN1302, PN1308, PN1313, PN1322, PN1328, PN1329, PN1330, PN1333, PN1340, PN1350, PN1371, PN1377, PN1378, PN1381, PN1392, PN1397, PN1399, PN1403, PN1496, PN1508, PN1521, PN1608, PN1614, PN1630, PN1635, PN1656, PN1664, PN1665, PN1677, PN1684, PN1685, PN1699, PN1701, PN1705, PN1710, PN1718, PN1722, PN1723, PN1761, PN1819, PN1820, COL002, COL003, COL005, COL007, COL008, COL009, COL010, COL012
30363;carie precoce;PI0497
5228;Cárie Radicular;HA004, AO0090, PN0078
5230;Cariogênicos;PN1336
5232;Cariostáticos;PN0146, PN0411, PN1698
5276;Cartilagem Tireóidea;PN1739
30343;carvacrol;PN1250
30137;Caseína ;PI0805
5328;Castração;PN1190
5369;Catepsinas;PN1109
5370;Catequina;PI0276
5415;Cavidade Nasal;PN0684, PN1694
30112;cavidade oral;AO0105, PI0048, PN0556
5418;Cavidade Pulpar;AO0065, PI0336, PI0643, PN0003, PN0160, PN0365, PN0572, PN1268, PN1580
30295;Cefalometria;PN1441, PN1663, PN1673, PN1676, PN1678
30338;Cell Block;PN1453
5496;Células;PI0683, PI0827
5526;Células Dendríticas;PN0571
5532;Células Endoteliais;PI0662, PN1592
5535;Células Epiteliais;PI0234, PI0678
5543;Células Gigantes;PI0379, PI0677, PN0248, PN0559, PN1732
5563;Células Matadoras Naturais;PN1725
5600;Células Vero;PN0402
5603;Células-Tronco;FC026, AO0028, AO0068, PI0071, PI0221, PI0825, PI0827, PN0006, PN0023, PN0341, PN0583, PN1409, PN1596, PN1859
5604;Células-Tronco Adultas;PI0483, PN0063, PN0180
5609;Células-Tronco Mesenquimais;HA001, HA024, FC001, PI0834, PN0312, PN1245, PN1466, PN1537
5611;Células-Tronco Neoplásicas;PN1750, PN1767
30171;células-tronco neurais;PN0316
5616;Celulose;PI0324, PI0718
30300;cemento dental;PN1471, PN1790
5689;Cerâmica;AO0137, AO0189, AO0209, AO0211, AO0213, PI0105, PI0115, PI0126, PI0167, PI0169, PI0255, PI0261, PI0319, PI0413, PI0561, PI0565, PI0620, PI0723, PI0776, PI0862, PN0099, PN0138, PN0139, PN0142, PN0158, PN0172, PN0201, PN0202, PN0212, PN0215, PN0228, PN0231, PN0310, PN0415, PN0441, PN0451, PN0500, PN0529, PN0532, PN0644, PN0691, PN0729, PN0734, PN0738, PN0745, PN0749, PN0779, PN0785, PN0790, PN0804, PN0986, PN1072, PN1095, PN1103, PN1115, PN1124, PN1127, PN1138, PN1145, PN1147, PN1157, PN1177, PN1325, PN1339, PN1363, PN1375
30225;Ceramics ;PN0533, PN0766
5747;Cervicalgia;PN0222
29965;Chá verde;AO0087, PI0057, PI0154
5782;Chalconas;PI0812
5888;Chupetas;PN1492, PN1493
30152;Cicatrização;PI0075, PI0157, PI0222, PN0611, PN0638
5912;Cicatrização de Feridas;PI0684, PN0017, PN0233, PN0638, PN1737
5932;Ciclo Celular;FC021
5942;Ciclodextrinas;PI0287
5998;Ciências da Saúde;PN0126
6003;Ciências Forenses;PN1736
6015;Cimentação;AO0193, AO0209, PI0017, PI0123, PI0169, PI0406, PI0424, PI0576, PN0162, PN0183, PN0227, PN0288, PN0502, PN0532, PN0742, PN0756, PN0789, PN0833, PN0856
29924;cimento de ionômero de vidro;AO0016, PI0431, PI0570, PI0581, PI0587, PN0188, PN0411, PN1019, PN1357, PN1382, PN1637, PN1671, PN1715
6018;Cimento de Óxido de Zinco e Eugenol;PN0051
6020;Cimento de Silicato;AO0058, AO0061, AO0174, PI0181, PI0792, PN1284, PN1562, PN1568
6022;Cimentos de Ionômeros de Vidro;PI0112, PI0113, PI0718, PI0753, PI0754, PI0756, PN0404, PN0775, PN0971, PN0983, PN1026, PN1028, PN1081, PN1088, PN1090, PN1091, PN1347, PN1373, PN1638, COL005
6023;Cimentos de Resina;AO0184, AO0188, AO0190, PI0116, PI0126, PI0271, PI0343, PI0409, PI0418, PI0424, PI0576, PI0712, PI0721, PI0862, PI0864, PI0866, PN0099, PN0109, PN0127, PN0136, PN0141, PN0153, PN0154, PN0158, PN0172, PN0191, PN0415, PN0434, PN0436, PN0446, PN0472, PN0477, PN0491, PN0502, PN0532, PN0609, PN0737, PN0754, PN0761, PN0800, PN0804, PN1072, PN1082, PN1086, PN1087, PN1100, PN1114, PN1115, PN1124, PN1127, PN1140, PN1569
6024;Cimentos Dentários;AO0079, PI0258, PI0260, PI0584, PI0721, PI0770, PI0865, PN0366, PN0413, PN0427, PN0501, PN0516, PN0795, PN1054, PN1064, PN1136, PN1558, PN1565
29856;Cimentos endodônticos;AO0063, AO0076, AO0180, AO0191, PI0031, PI0038, PI0640, PI0790, PN0029, PN0053, PN0354, PN0373, PN0377, PN0803, PN0810, PN0822, PN1260, PN1277, PN1278, PN1289, PN1577, PN1581, PN1591, PN1625
30197;cimentos ortodonticos;PN0409
30275;Cimentos resinoso;AO0213, PI0577, PN1067, PN1097
30158;cinnamaldehyde candida ;PN0094
6059;Cinnamomum zeylanicum;PN0408
6063;Cintilografia;PN1421
6097;Circunferência Craniana;PN0323, PN0693
6099;Cirrose Hepática;PI0687
6106;Cirurgia;PI0610, PN0317, PN0326, PN1825
6108;Cirurgia Bariátrica;AO0053, PN0786, PN1212
6109;Cirurgia Bucal;AO0158, AO0163, PI0005, PI0158, PI0465, PI0486, PN0017, PN0313, PN0315, PN0632, PN0945
30127;cirurgia cardiovascular;PN0878
30084;Cirurgia Ortognática;FC014, AO0156, PI0155, PN0013, PN0320, PN0557, PN0630, PN0635, PN0714, PN0934, PN1674
6116;Cirurgia Plástica;PN0871, PN0875, PN1203, PN1775, PN1792
6171;Cisto Radicular;PI0508, PN0562, PN1458, PN1597, PN1695
6178;Cistos;PN0583
6185;Cistos Odontogênicos;AO0163, PN0376, PN0545, PN1429
6207;Citocinas;HA020, AO0030, AO0031, AO0059, AO0077, AO0121, AO0122, PI0049, PI0234, PI0603, PN0090, PN0363, PN0381, PN0898, PN1269, PN1470, PN1785, PN1853
6236;Citologia;PI0376, PI0819, PN0251, PN0703, PN0958
6237;Citomegalovirus;PI0380
6238;Citometria de Fluxo;PI0203
30026;citotoxicidade;AO0038, AO0084, AO0181, PI0185, PI0287, PI0324, PI0562, PI0652, PI0806, PN0029, PN0120, PN0173, PN0396, PN0439, PN0475, PN0760, PN0857, PN0863, PN0970, PN1116, PN1260, PN1307, PN1568
6247;Citotoxicidade Celular Anticorpo-Dependente;PN0676
6248;Citotoxicidade Imunológica;PN0840
30198;Cizalhamento;PN0100, PN0409
30134;clareadores;PI0405, PI0407, PN0062, PN0442, PN0454, PN0738, PN1078, PN1123, PN1134
6276;Clareamento de Dente;PI0122, PI0256, PI0572, PN0465, PN1120
